FOOD_ID,DATE,MEAL,FOODS,Food_Item,Quantity,Calories,Protein (g),Carbs (g),Fat (g),Cholest (mg),Sodium (mg),Sugar (g),Fiber (g)
170,3/15/2025,Meal 3,"Crisper's - Steak Caesar Wrap, 1 whole",Steak Caesar Wrap, 1 whole,764 ,36 ,61 ,41 ,--,"2,142 ",--,5 
171,3/15/2025,Snacks,"Domino's - Lava Cake, 2 cake",Lava Cake, 2 cake,700 ,8 ,94 ,34 ,130 ,340 ,62 ,2 
172,3/15/2025,Total,TOTALS,,,"2,428 ",74 ,243 ,117 ,146 ,"3,832 ",105 ,21 
173,3/16/2025,Meal 1,"Generic - Large Bagel With Cream Cheese, 1 Bagel",Large Bagel With Cream Cheese, 1 Bagel,436 ,14 ,66 ,8 ,27 ,634 ,5 ,4 
174,3/16/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 2 cup (158g)",White Rice (Cooked), 2 cup (158g),410 ,8 ,90 ,0 ,0 ,4 ,0 ,2 
175,3/16/2025,Meal 2,"Jarritos, 1 can or bottle (16 fl oz)",Jarritos, 1 can or bottle (16 fl oz),238 ,0 ,61 ,0 ,0 ,60 ,--,0 
176,3/16/2025,Meal 2,"Chipotle Pico de Gallo - Chipotle Pico de Gallo 2024, 4 ounce",Chipotle Pico de Gallo, 4 ounce,25 ,0 ,4 ,0 ,--,--,--,--
177,3/16/2025,Meal 2,"Avocado - Avocado, 2.5 oz(s)",Avocado, 2.5 oz(s),166 ,2 ,9 ,15 ,0 ,7 ,1 ,7 
178,3/16/2025,Meal 2,"Pork Steak - Grilled, 5 oz",Pork Steak - Grilled, 5 oz,365 ,36 ,0 ,23 ,134 ,98 ,--,--
179,3/16/2025,Meal 3,"Market Basket - Eggs, 1 egg",Eggs, 1 egg,70 ,6 ,1 ,5 ,215 ,65 ,0 ,0 
180,3/16/2025,Meal 3,"Sabritas - Chicharron, 30 gramos",Chicharron, 30 gramos,174 ,16 ,0 ,12 ,25 ,450 ,0 ,0 
181,3/16/2025,Meal 3,"Fried Beans - Fried Beans, 3 oz",Fried Beans, 3 oz,145 ,6 ,19 ,5 ,--,--,--,--
182,3/16/2025,Meal 3,"Cinco De Mayo - Tortillas, 2 pcs. (50g)",Cinco De Mayo - Tortillas, 2 pcs. (50g),100 ,2 ,20 ,1 ,--,36 ,--,2 
183,3/16/2025,Snacks,"Pepsico - Pepsi, 1 can (12fl oz)",Pepsi, 1 can (12fl oz),150 ,0 ,41 ,0 ,0 ,30 ,41 ,0 
184,3/16/2025,Total,TOTALS,,,"2,279 ",90 ,311 ,69 ,401 ,"1,384 ",47 ,15 
185,3/17/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
186,3/17/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
187,3/17/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 2 cup (158g)",White Rice (Cooked), 2 cup (158g),410 ,8 ,90 ,0 ,0 ,4 ,0 ,2 
188,3/17/2025,Meal 2,"Chicken Thighs - 2 Thighs, 3 oz",Chicken Thighs, 3 oz,151 ,21 ,4 ,8 ,115 ,74 ,0 ,0 
189,3/17/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
190,3/17/2025,Meal 2,"Cherry tomatoes, 1 cup",Cherry tomatoes, 1 cup,13 ,1 ,3 ,0 ,0 ,4 ,2 ,1 
191,3/17/2025,Meal 2,"Rotisserie Chicken, 2 serving (3 oz)",Rotisserie Chicken, 2 serving (3 oz),361 ,44 ,0 ,21 ,208 ,662 ,0 ,0 
192,3/17/2025,Meal 3,"Cinco De Mayo - Tortillas, 2 pcs. (50g)",Cinco De Mayo - Tortillas, 2 pcs. (50g),100 ,2 ,20 ,1 ,--,36 ,--,2 
193,3/17/2025,Meal 3,"Goya - Red Kidney Beans, 1 cup",Red Kidney Beans, 1 cup,560 ,36 ,104 ,0 ,0 ,20 ,4 ,24 
194,3/17/2025,Meal 3,"Rotisserie Chicken, 2.5 serving (3 oz)",Rotisserie Chicken, 2.5 serving (3 oz),451 ,55 ,0 ,26 ,260 ,827 ,0 ,0 
195,3/17/2025,Snacks,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
196,3/17/2025,Total,TOTALS,,,"2,902 ",190 ,296 ,114 ,583 ,"1,934 ",44 ,43 
197,3/18/2025,Meal 1,"Jif - Peanut Butter, Creamy, 63 g",Peanut Butter, 63 g,363 ,13 ,15 ,31 ,0 ,267 ,6 ,4 
198,3/18/2025,Meal 1,"Nutribar - Oatmeal and rice bar, 1 pack",Oatmeal and rice bar, 1 pack,101 ,2 ,21 ,1 ,0 ,0 ,0 ,0 
199,3/18/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
200,3/18/2025,Meal 2,"Chicken Express - Fried Chicken Tender, 50 g (1 pc)",Fried Chicken Tender, 50 g (1 pc),140 ,11 ,8 ,8 ,30 ,400 ,0 ,1 
201,3/18/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
202,3/18/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
203,3/18/2025,Meal 3,"Mixed salad greens, 1 cup",Mixed salad greens, 1 cup,6 ,1 ,1 ,0 ,0 ,15 ,0 ,0 
204,3/18/2025,Meal 3,"Rotisserie Chicken, 2.5 serving (3 oz)",Rotisserie Chicken, 2.5 serving (3 oz),451 ,55 ,0 ,26 ,260 ,827 ,0 ,0 
205,3/18/2025,Meal 3,"Goya - Red Kidney Beans, 0.5 cup",Red Kidney Beans, 0.5 cup,280 ,18 ,52 ,0 ,0 ,10 ,2 ,12 
206,3/18/2025,Snacks,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
207,3/18/2025,Snacks,"naturebell - moringa 8000mg, 2 capsules",moringa 8000mg, 2 capsules,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
208,3/18/2025,Snacks,"Glonuts - Cookies, 1 cookie",Glonuts - Cookies, 1 cookie,115 ,1 ,1 ,13 ,--,--,1 ,--
209,3/18/2025,Total,TOTALS,,,"2,473 ",170 ,174 ,137 ,597 ,"1,845 ",43 ,28 
210,3/19/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
211,3/19/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
212,3/19/2025,Meal 1,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 2 cup","Almond Milk, Vanilla", 2 cup,160 ,2 ,28 ,5 ,0 ,300 ,26 ,1 
213,3/19/2025,Meal 1,"naturebell - moringa 8000mg, 2 capsules",moringa 8000mg, 2 capsules,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
214,3/19/2025,Meal 1,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
215,3/19/2025,Meal 2,"BevMc Chicken soup - Soup, 3 cup",BevMc Chicken soup - Soup, 3 cup,444 ,66 ,27 ,--,166 ,491 ,0 ,6 
216,3/19/2025,Meal 2,"Turkey Ground Patty - Ground Turkey - Cooked, 5 oz",Ground Turkey - Cooked, 5 oz,200 ,29 ,0 ,10 ,81 ,131 ,0 ,0 
217,3/19/2025,Meal 3,"Beachbody Ur Sweat Potato Bisque - Sweat Potato Soup, 1 cup",Sweat Potato Soup, 1 cup,220 ,3 ,35 ,7 ,0 ,530 ,--,6 
218,3/19/2025,Snacks,"naturebell - moringa 8000mg, 2 capsules",moringa 8000mg, 2 capsules,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
219,3/19/2025,Total,TOTALS,,,"1,599 ",151 ,128 ,46 ,"1,125 ","2,566 ",48 ,14 
220,3/20/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
221,3/20/2025,Meal 1,"Market Basket - Almonds - Roasted, No Salt, 1 ounce",Almonds - Roasted, 1 ounce,170 ,6 ,6 ,16 ,--,--,2 ,3 
222,3/20/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
223,3/20/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
224,3/20/2025,Meal 2,"Carrots - Baby, 6 ounce",Carrots - Baby, 6 ounce,70 ,2 ,16 ,0 ,16 ,130 ,10 ,4 
225,3/20/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
226,3/20/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
227,3/20/2025,Meal 3,"Carrots - Baby, 6 ounce",Carrots - Baby, 6 ounce,70 ,2 ,16 ,0 ,16 ,130 ,10 ,4 
228,3/20/2025,Meal 3,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
229,3/20/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 1 can drained","Solid White Albacore, Tuna in Water", 1 can drained,130 ,30 ,0 ,1 ,45 ,350 ,--,--
230,3/20/2025,Snacks,"Strawberry, 1 cup, halves",Strawberry, 1 cup,49 ,1 ,12 ,0 ,0 ,2 ,7 ,3 
231,3/20/2025,Snacks,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
232,3/20/2025,Snacks,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
233,3/20/2025,Snacks,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 1 cup","Almond Milk, Vanilla", 1 cup,80 ,1 ,14 ,3 ,0 ,150 ,13 ,1 
234,3/20/2025,Total,TOTALS,,,"2,264 ",171 ,167 ,116 ,"1,262 ","2,299 ",89 ,30 
235,3/21/2025,Meal 1,"Market Basket - Almonds - Roasted, No Salt, 1 ounce",Almonds - Roasted, 1 ounce,170 ,6 ,6 ,16 ,--,--,2 ,3 
236,3/21/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
237,3/21/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
238,3/21/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
239,3/21/2025,Meal 2,"Chinese Takeout - Boneless Bbq Spare Ribs, 4 oz",Boneless Bbq Spare Ribs, 4 oz,475 ,28 ,7 ,37 ,--,626 ,--,--
240,3/21/2025,Meal 2,"Chinese - Orange Chicken, 2 oz",Orange Chicken, 2 oz,95 ,6 ,3 ,5 ,23 ,50 ,0 ,1 
241,3/21/2025,Meal 2,"Chinese - Fried Rice, 1 cup",Chinese - Fried Rice, 1 cup,228 ,7 ,43 ,3 ,32 ,554 ,1 ,2 
242,3/21/2025,Meal 3,"Crab Rangoon - Crab Rangoon, 1 puff",Crab Rangoon, 1 puff,79 ,--,8 ,4 ,--,--,--,--
243,3/21/2025,Meal 3,"Chinese Takeout - Boneless Bbq Spare Ribs, 4 oz",Boneless Bbq Spare Ribs, 4 oz,475 ,28 ,7 ,37 ,--,626 ,--,--
244,3/21/2025,Meal 3,"Chinese - Fried Rice, 1 cup",Chinese - Fried Rice, 1 cup,228 ,7 ,43 ,3 ,32 ,554 ,1 ,2 
245,3/21/2025,Snacks,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
246,3/21/2025,Snacks,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
247,3/21/2025,Total,TOTALS,,,"2,849 ",189 ,197 ,149 ,"1,272 ","3,722 ",43 ,13 
248,3/22/2025,Meal 1,"Red apple, 1 medium",Red apple, 1 medium,125 ,1 ,30 ,0 ,--,2 ,22 ,5 
249,3/22/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
250,3/22/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
251,3/22/2025,Meal 2,"McClain Chicken Breast Breaded - Breaded  Chicken Breast, 4 oz",Breaded  Chicken Breast, 4 oz,240 ,17 ,19 ,11 ,45 ,560 ,1 ,--
252,3/22/2025,Meal 2,"Lemon Rice, 1.5 serving",Lemon Rice, 1.5 serving,332 ,7 ,64 ,4 ,10 ,156 ,2 ,0 
253,3/22/2025,Snacks,"Sunshine - Cheez-it Snapd, 1 pouch (21g)",Cheez-it Snapd, 1 pouch (21g),100 ,1 ,13 ,5 ,0 ,180 ,1 ,1 
254,3/22/2025,Snacks,"Reese's - Fast Break King Size [Grams], 40 gram",Fast Break King Size [Grams], 40 gram,182 ,4 ,25 ,8 ,0 ,133 ,22 ,1 
255,3/22/2025,Snacks,"100 Grand - 100 Grand bar fun size*, 1 bar (21g)",100 Grand bar fun size, 1 bar (21g),100 ,1 ,15 ,4 ,5 ,45 ,11 ,0 
256,3/22/2025,Total,TOTALS,,,"1,724 ",95 ,187 ,72 ,367 ,"1,451 ",63 ,10 
257,3/23/2025,Meal 1,"Jif - Peanut Butter, Creamy, 84 g",Peanut Butter, 84 g,484 ,18 ,20 ,41 ,0 ,356 ,8 ,5 
258,3/23/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
259,3/23/2025,Meal 2,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
260,3/23/2025,Meal 2,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
261,3/23/2025,Meal 3,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
262,3/23/2025,Meal 3,"Domino's Large Pepperoni Pizza - Large Pepperoni Pizza, 3 slice",Large Pepperoni Pizza, 3 slice,900 ,36 ,102 ,38 ,90 ,"2,100 ",9 ,6 
263,3/23/2025,Snacks,"Reese's - Fast Break King Size [Grams], 40 gram",Fast Break King Size [Grams], 40 gram,182 ,4 ,25 ,8 ,0 ,133 ,22 ,1 
264,3/23/2025,Snacks,"100 Grand - 100 Grand bar fun size*, 1 bar (21g)",100 Grand bar fun size, 1 bar (21g),100 ,1 ,15 ,4 ,5 ,45 ,11 ,0 
265,3/23/2025,Total,TOTALS,,,"2,831 ",174 ,199 ,161 ,"1,280 ","3,817 ",63 ,18 
266,3/24/2025,Meal 1,"Kit Kat, 1 bar (1.5 oz)",Kit Kat, 1 bar (1.5 oz),218 ,3 ,27 ,11 ,5 ,23 ,20 ,0 
267,3/24/2025,Meal 1,"Reese's - Peanut Butter Cups, 15 g",Reese's - Peanut Butter Cups, 15 g,75 ,2 ,9 ,4 ,1 ,54 ,8 ,1 
268,3/24/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
269,3/24/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
270,3/24/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 1 ounce",Almonds - Roasted, 1 ounce,170 ,6 ,6 ,16 ,--,--,2 ,3 
271,3/24/2025,Meal 2,"Chicken Thighs - 2 Thighs, 16 oz",Chicken Thighs, 16 oz,805 ,109 ,21 ,40 ,613 ,395 ,0 ,0 
272,3/24/2025,Meal 3,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
273,3/24/2025,Meal 3,"Sopa De Frijoles Con Lima, 2 ración",Sopa De Frijoles Con Lima, 2 ración,494 ,29 ,62 ,16 ,54 ,438 ,10 ,20 
274,3/24/2025,Snacks,"Oreos, 6 cookie",Oreos, 6 cookie,306 ,3 ,47 ,13 ,0 ,256 ,27 ,2 
275,3/24/2025,Snacks,"Reese's - Fast Break King Size [Grams], 18 gram",Fast Break King Size [Grams], 18 gram,82 ,2 ,11 ,4 ,0 ,60 ,10 ,0 
276,3/24/2025,Total,TOTALS,,,"2,718 ",168 ,269 ,124 ,673 ,"1,407 ",98 ,34 
277,3/25/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
278,3/25/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
279,3/25/2025,Meal 2,"Chipotle Guacamole - Guacamole* RG, 2 oz",Chipotle Guacamole, 2 oz,115 ,1 ,4 ,11 ,0 ,185 ,1 ,3 
280,3/25/2025,Meal 2,"Black beans, canned, 0.5 cup","Black beans, canned", 0.5 cup,109 ,7 ,20 ,0 ,0 ,461 ,0 ,8 
281,3/25/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
282,3/25/2025,Meal 2,"Carnes - Picanha, 6 ounce",Picanha, 6 ounce,425 ,34 ,0 ,26 ,0 ,0 ,0 ,0 
283,3/25/2025,Meal 3,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
284,3/25/2025,Meal 3,"Caldo De Res, 2 cups",Caldo De Res, 2 cups,369 ,38 ,40 ,7 ,76 ,"2,161 ",10 ,8 
285,3/25/2025,Meal 3,"Chocolate Doughnut - Chocolate Doughnut, 100 g",Chocolate Doughnut, 100 g,437 ,7 ,48 ,25 ,--,--,12 ,--
286,3/25/2025,Snacks,"Butterfinger - Mini Butterfinger Bar, 3 bars",Mini Butterfinger Bar, 3 bars,140 ,3 ,20 ,6 ,0 ,90 ,12 ,1 
287,3/25/2025,Snacks,"Kit Kat - Mini Mini, 16.7 gr",Kit Kat - Mini Mini, 16.7 gr,87 ,1 ,10 ,5 ,--,--,8 ,0 
288,3/25/2025,Snacks,"Almond Joy - Mini, 1 Mini; 17 g",Almond Joy - Mini, 1 Mini; 17 g,80 ,1 ,10 ,5 ,0 ,20 ,8 ,1 
289,3/25/2025,Total,TOTALS,,,"2,535 ",110 ,283 ,105 ,76 ,"3,100 ",72 ,30 
290,3/26/2025,Meal 1,"Chocolate Doughnut - Chocolate Doughnut, 30 g",Chocolate Doughnut, 30 g,131 ,2 ,14 ,7 ,--,--,4 ,--
291,3/26/2025,Meal 1,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
292,3/26/2025,Meal 2,"Chipotle - Double Chicken, 8 ounce",Chipotle - Double Chicken, 8 ounce,380 ,64 ,2 ,13 ,230 ,740 ,2 ,0 
293,3/26/2025,Meal 2,"Chipotle Guacamole - Guacamole* RG, 4 oz",Chipotle Guacamole, 4 oz,230 ,2 ,8 ,22 ,0 ,370 ,1 ,6 
294,3/26/2025,Meal 2,"Chipotle - Beans, 4 ounce",Chipotle - Beans, 4 ounce,120 ,7 ,23 ,1 ,0 ,250 ,1 ,11 
295,3/26/2025,Meal 2,"Chipotle - Brown Rice (Only), 4 ounce",Brown Rice (Only), 4 ounce,200 ,4 ,32 ,7 ,0 ,165 ,1 ,3 
296,3/26/2025,Meal 3,"Rotisserie Chicken, 2.5 serving (3 oz)",Rotisserie Chicken, 2.5 serving (3 oz),451 ,55 ,0 ,26 ,260 ,827 ,0 ,0 
297,3/26/2025,Meal 3,"Carrots, 1 cup",Carrots, 1 cup,49 ,1 ,11 ,0 ,0 ,83 ,6 ,3 
298,3/26/2025,Meal 3,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
299,3/26/2025,Snacks,"Oreo - Double Stuff, 4 cookie(29g)",Oreo - Double Stuff, 4 cookie(29g),280 ,2 ,42 ,14 ,0 ,190 ,26 ,2 
300,3/26/2025,Total,TOTALS,,,"2,008 ",141 ,157 ,96 ,490 ,"2,800 ",54 ,27 
301,3/27/2025,Meal 1,"Lorna Doone - Cookie, 1 cup",Cookie, 1 cup,140 ,1 ,19 ,6 ,0 ,150 ,5 ,0 
302,3/27/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
303,3/27/2025,Meal 2,"Dunkin' Donuts - Hashbrowns, 9 count",Hashbrowns, 9 count,200 ,2 ,22 ,11 ,0 ,730 ,0 ,3 
304,3/27/2025,Meal 2,"Goya - Red Kidney Beans, 134 g",Red Kidney Beans, 134 g,447 ,29 ,83 ,0 ,0 ,16 ,3 ,19 
305,3/27/2025,Meal 2,"Carrots, 1 cup",Carrots, 1 cup,49 ,1 ,11 ,0 ,0 ,83 ,6 ,3 
306,3/27/2025,Meal 2,"Rotisserie Chicken, 2.5 serving (3 oz)",Rotisserie Chicken, 2.5 serving (3 oz),451 ,55 ,0 ,26 ,260 ,827 ,0 ,0 
307,3/27/2025,Meal 3,"White Jasmine Rice (Cooked - White Rice (Cooked), 1.5 cup (158g)",White Rice (Cooked), 1.5 cup (158g),308 ,6 ,68 ,0 ,0 ,3 ,0 ,2 
308,3/27/2025,Meal 3,"Jamaican - Jerk Chicken, 6 oz (154g)",Jamaican - Jerk Chicken, 6 oz (154g),324 ,21 ,11 ,21 ,15 ,577 ,1 ,--
309,3/27/2025,Snacks,"Oreo - Double Stuff, 2 cookie(29g)",Oreo - Double Stuff, 2 cookie(29g),140 ,1 ,21 ,7 ,0 ,95 ,13 ,1 
310,3/27/2025,Snacks,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
311,3/27/2025,Total,TOTALS,,,"2,422 ",126 ,276 ,91 ,275 ,"2,660 ",49 ,35 
312,3/28/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
313,3/28/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
314,3/28/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
315,3/28/2025,Meal 2,"Goya - Red Kidney Beans, 134 g",Red Kidney Beans, 134 g,447 ,29 ,83 ,0 ,0 ,16 ,3 ,19 
316,3/28/2025,Meal 2,"Carrots, 1 cup",Carrots, 1 cup,49 ,1 ,11 ,0 ,0 ,83 ,6 ,3 
317,3/28/2025,Meal 2,"Rotisserie Chicken, 2.5 serving (3 oz)",Rotisserie Chicken, 2.5 serving (3 oz),451 ,55 ,0 ,26 ,260 ,827 ,0 ,0 
318,3/28/2025,Meal 3,"Homemade - Fried Banana, 1 medium banana",Fried Banana, 1 medium banana,105 ,1 ,27 ,0 ,--,1 ,14 ,3 
319,3/28/2025,Meal 3,"Broccoli - Broccoli Steamed, 2 cup",Broccoli Steamed, 2 cup,62 ,5 ,12 ,1 ,0 ,60 ,3 ,5 
320,3/28/2025,Meal 3,"Carnes - Picanha, 8 ounce",Picanha, 8 ounce,567 ,45 ,0 ,34 ,0 ,0 ,0 ,0 
321,3/28/2025,Meal 3,"Beets - Cooked, boiled, drained, 1 cup slices",Beets - Cooked, 1 cup slices,75 ,3 ,17 ,0 ,0 ,131 ,14 ,3 
322,3/28/2025,Snacks,"Oreo - Double Stuff, 3 cookie(29g)",Oreo - Double Stuff, 3 cookie(29g),210 ,2 ,32 ,11 ,0 ,143 ,20 ,2 
323,3/28/2025,Snacks,"Brahma - Beer, 12 fluid ounce",Brahma - Beer, 12 fluid ounce,160 ,1 ,14 ,0 ,--,--,--,--
324,3/28/2025,Snacks,"Swan's - Chocolate Moose Cake, 1 piece",Chocolate Moose Cake, 1 piece,430 ,5 ,55 ,23 ,--,--,--,--
325,3/28/2025,Total,TOTALS,,,"3,199 ",181 ,296 ,133 ,"1,120 ","1,700 ",81 ,42 
326,3/29/2025,Meal 1,"Oreo - Double Stuff, 3 cookie(29g)",Oreo - Double Stuff, 3 cookie(29g),210 ,2 ,32 ,11 ,0 ,143 ,20 ,2 
327,3/29/2025,Total,TOTALS,,,210 ,2 ,32 ,11 ,0 ,143 ,20 ,2 
328,3/30/2025,Meal 1,"Oreo - Double Stuff, 3 cookie(29g)",Oreo - Double Stuff, 3 cookie(29g),210 ,2 ,32 ,11 ,0 ,143 ,20 ,2 
329,3/30/2025,Meal 1,"Pancake, plain, 3 medium pancake",Pancake, 3 medium pancake,423 ,11 ,53 ,18 ,99 ,762 ,11 ,3 
330,3/30/2025,Total,TOTALS,,,633 ,13 ,85 ,29 ,99 ,905 ,31 ,5 
331,3/31/2025,Meal 1,"Homemade - Fried Banana, 1 medium banana",Fried Banana, 1 medium banana,105 ,1 ,27 ,0 ,--,1 ,14 ,3 
332,3/31/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
333,3/31/2025,Meal 1,"Market Basket - Eggs, 2 egg",Eggs, 2 egg,140 ,12 ,2 ,9 ,430 ,130 ,0 ,0 
334,3/31/2025,Meal 2,"Fried Beans - Fried Beans, 4.5 oz",Fried Beans, 4.5 oz,218 ,9 ,28 ,8 ,--,--,--,--
335,3/31/2025,Meal 2,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
336,3/31/2025,Meal 2,"Rotisserie Chicken, 2.5 serving (3 oz)",Rotisserie Chicken, 2.5 serving (3 oz),451 ,55 ,0 ,26 ,260 ,827 ,0 ,0 
337,3/31/2025,Meal 3,"Fried Beans - Fried Beans, 4.5 oz",Fried Beans, 4.5 oz,218 ,9 ,28 ,8 ,--,--,--,--
338,3/31/2025,Meal 3,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
